id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3740822,Lux 2BR Cambridge Apt by MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,475,31,15,2016-07-18,0.15,13,365,0,C0281180491
3774900,City Oasis |Deck & Yard |Walk To Harvard MIT Train,6823717,Juan Carlos,,Cambridgeport,42.36024,-71.11398,Entire home/apt,148,3,324,2022-12-17,3.22,2,4,37,STR-13631
3861471,Luxury 3BR Condo near Harvard/MIT with Parking!,11274561,Philip,,The Port,42.36583,-71.09803,Entire home/apt,284,7,92,2022-12-10,0.90,2,7,9,STR-62076
3894437,Lovely Studio in Cambridge -- Great Location,6839881,Lisan,,Neighborhood Nine,42.38862,-71.12554,Entire home/apt,122,200,4,2022-08-31,0.04,6,243,1,
3966829,Sunny Base close to MIT,20414167,Sandra,,The Port,42.36636,-71.09965,Entire home/apt,160,91,34,2019-08-02,0.33,1,90,0,
4031375,A room in spacious 3 bdroom apt,19140459,Gustavo,,North Cambridge,42.39605,-71.134,Private room,114,91,6,2017-09-28,0.06,1,365,0,
4068377,“Bed & Bar” w/Peloton & Street Parking,405341,Bryan & Marisa,,North Cambridge,42.39437,-71.12601,Private room,139,2,258,2022-06-30,2.58,1,0,10,
4109594,Overnight couch space,21321632,Marion,,North Cambridge,42.39827,-71.14215,Shared room,54,1,224,2022-11-20,2.22,1,351,38,
4112094,Cambridge Studio Apartment,404360,Victor,,West Cambridge,42.37843,-71.14272,Entire home/apt,135,2,321,2022-12-05,3.20,1,305,53,STR-15361
4116478,Great House in Central Square,4578066,Lindsey,,Cambridgeport,42.36308,-71.10234,Entire home/apt,350,2,233,2022-12-11,2.34,1,284,49,STR-18433
4209359,1B STUDIO Private entrance WALK HARVARD/MIT,81038,Louisa,,Mid-Cambridge,42.3677,-71.10584,Entire home/apt,150,30,188,2022-10-31,2.00,8,340,1,C0194540491
4216908,"Quiet home near Porter, Harvard. On Red Line",21885217,Catherine,,North Cambridge,42.38983,-71.11918,Entire home/apt,350,7,24,2022-10-11,0.37,1,0,4,STR-85105
4235636,Cozy Room in a Charming Townhouse,10427720,Gosia,,Strawberry Hill,42.37664,-71.15157,Private room,125,30,10,2022-11-18,0.18,2,321,3,
4270619,Sunny 3 Bdr corner luxury apartment,21631889,Ling Yi,,The Port,42.36935,-71.09845,Entire home/apt,300,75,55,2022-08-14,0.59,12,270,3,C0193720491
4338244,"Lux Kendall Square 1 Bedroom w/gym, WiFi",9419684,Churchill,,East Cambridge,42.363617,-71.08202,Entire home/apt,456,31,2,2015-08-23,0.02,13,365,0,C0281170491
4437529,Lux 2BR Cambridge Apt by MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,475,31,9,2016-04-09,0.09,13,365,0,C0281180491
4437789,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,4,2016-01-18,0.04,13,365,0,C0281180491
4455298,Family Friendly 3 Bedroom,21631889,Ling Yi,,The Port,42.36896,-71.09846,Entire home/apt,335,45,106,2022-02-28,1.08,12,159,1,C0193720491
4489577,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,2,2018-09-24,0.02,13,365,0,C0281180491
4534572,5BR Home in Cambridge,4781117,Katie,,West Cambridge,42.38055,-71.14397,Entire home/apt,529,5,65,2019-07-14,0.71,1,0,0,STR-13321
